34862
Лeчeбнaя пoвязкa|компресс
Странствующая Снегурочка с косой на миллионы км|комета
Странствующие кудесники, предсказатели в Древней Руси|волхвы
Странствующий дервиш|факир
Странствующий монах на исламском Востоке, нищий|дервиш
Странствующий певец в Древней Греции?|рапсод
Страстно преданный поклонник|фанат
Страстное воодушевление, подъем|пафос
Страстность, горячность в поведении, работе|задор
Столов. прибор|вилка
Столовая для долгоносика|амбар
Столовая посуда для подливки, соуса|судок
Столовое плато между Каспием и Аралом|устюрт
Столовые отходы, которыми щедро поливают ближних|помои
Столовый инструмент|нож
Столовый прибор (устар.)|куверт
Столовый прибор|ложка
Столовый прибор|нож
Столяр. инстр. для разметки углов|малка
Столярная часть картины|рама
Столярный инструмент|баланс
Столярный инструмент|киянка
Столярный инструмент|клин
Столярный инструмент|цикля
Столярный молоток|киянка
Стометровка дачника|ар
Стопа бумаги или связка рулонов ткани|кипа
Стопа в античном стихосложении|антибакхий
Стопа в античном стихосложении|бакхий
Стопа ноги или вся нога у животных, имеющих подвижные конечности члены-пальцы, а также о руке человека|лапа
Стопка грузов, уложенная на поддон|пакет
Стопка?|шкалик
Сторож без языка|замок
Сторож плохой, слепой и глухой: не тронешь - молчит, а тронешь - кричит|звонок
Сторож со скважиной и "собачкой"?|замок
Сторож, охранник|страж
Сторожевая наблюдательная башня в древнерусской крепости|вежа
Сторожевой полицейский в царской России?|будочник
Сторожек, севляга, гыргея, ворчая, вислед, гавка, амка. Каким одним словом это все можно назвать?|собака
Сторожка в поле, на огороде|курень
Сторона в бридже|север
Сторона в договоре?|контрагент
Сторона в суде|истец
Сторона монеты, обратная гербовому изображению|решка
Сторона света; прозвище императора Септимия|север
Так иногда называют снежный покров (поэтическое)|саван
Так иногда нелицеприятно называют сыщика|ищейка
Так люди искусства иногда называют выдающегося человека, уподобляя его большому бесформенному обломку|глыба
Стратегический статус американского "Томагавка"|ракета
Страх в зачаточном состоянии|опаска
Страх, кошмар|ужас
Страх, состояние человека|паника
Страх, ужас|жуть
Страх, боязнь|трепет
Страх|боязнь
Страхование судовых грузов|карго
Страховочное приспособление цирковых акробатов|лонжа
Страховочный трос|фал
Страшная болезнь, от которой в детстве всем делали прививки|оспа
Страшная гримаса с обнаженными зубами|оскал
Страшный замок из рассказа А. Дюма-отца?|Иф
Стрелка авторитетов в Древней Греции|ареопаг
Стреловидный лист лука, чеснока|перо
Стрелок, владеющий искусством стрельбы, маскировки и наблюдения?|снайпер
Стрелок-"молочник"|мазила
Стрелочники (одежн.)?|брюки
Стрельба и фейерверк в ознаменование торжественной даты, события|салют
Стреляного воробья на ней не проведешь|мякина
Стреляющая телега, "наша гордость и краса"?|тачанка
Стремит. течение; стих. М. Лермонтова|поток
Стремительная птица, которая ни ходить по земле, ни взлетать с нее не может|стриж
Стремительно текущая водная масса|поток
Стремительное и внезапное нападение|налет
Стремительное нападение, атака|удар
Стремительное наступление|атака
Стремление действовать активно, бороться, боевое настроение|злость
Стремление к воровству как психическое заболевание?|клептомания
Стремление к чистоте нравов|пуризм
Стремление ландшафта как-то оттенить равнину|овраг
Стремление утвердить свой авторитет, влияние, власть|авторитарность
Стрессовая ситуация на транспорте|давка
Стрессовый гормон, чью концентрацию в крови повышает уличный шум?|адреналин
Строгие монументальные формы в архитектуре, драпировки, пышные рукава, античные мотивы в моде|ампир
Строение для сушки снопов перед молотьбой|овин
Строение для сушки хлеба в снопах|овин
Строение для хранения зерна, муки, припасов|амбар
Строение земной поверхности, совокупность неровностей суши и морского дна|рельеф
Строение на терр. аэропорта|ангар
Строение, дом|здание
Строит. дерев. теплоиз. материал|термиз
Строит. деревянный материал|дрань
Строит. материал|бетон
Строит. машина|кран
Строитель и проектировщик самолетов|авиаконструктор
Строительная машина для забивания свай|копер
Строительная машина|каток
Строительная машина|рутер
Строительная нахлобучка|каска
Строительное искусство, зодчество|архитектура
Строительное сито|грохот
Строительное тесто|глина
Строительный вяжущий материал|асфальт
Строительный и облицовочный материал|габбро
Строительный материал в виде колотых кусков камня определенной формы|шашка
Строительный материал в виде плит из смеси цемента и асбеста|шифер
Строительный материал и сыпучий сладкий продукт|песок
Строительный материал|асбестоцемент
Строительный материал|бетон
Строительный материал|дерево
Строительный материал|кирпич
Строительный материал|лесина
Строительный материал|стекло
Строительный материал|тес
Строительный материал|цемент
Строительный элемент перекрытия|балка
Строй музыкального произведения, сочетание звуков и созвучий|лад
Строй музыкального произведения; разновидность силлогизма|модус
Строй музыкального произведения|модус
Строй судов или самолетов уступом влево или вправо от лидера|пеленг
Строй, шеренга|ряд
Строка, по содержанию которой можно кого-то или что-то отыскать|адрес
Строки на экране телевизора|растр
Строфа из 10 стихов|децима
Строфа из 4-х стихов|катрен
Строфа из 8 стихов|октава
Строфа из трех стихов|терцет
Строфа кондака или акафиста|икос
Строфа песни|куплет
Строфия|астидамия
Строчный отступник|абзац
Строящееся или выстроенное здание или сооружение в современной архитектуре|объект
Стружка древа общественной жизни|шпана
Струйный насос для питания паровых котлов?|инжектор
Структура данных|стек
Структурн. составляющая стали и чугуна|аустенит
Структурная группировка, связанная с центральным атомом в молекуле комплексного соединения (хим.)|лиганд
Структурная единица компактного вещества костей|остеон
Структурная единица организации|отдел
Структурная составляющая стали|сорбит
Структурное соединение гена|аллель
Струна на щипковых музыкальных инструментах, дающая самые низкие тона|басок
Струна самого чувствительного "инструмента" внутри каждого из нас|нерв
Струнный инструмент, предпочитающий женские руки|арфа
Струнный муз. инструмент, древняя норвежская скрипка|фидла
Струнный музыкальный инструмент|крокус
Струнный смычковый|альт
Струнный щипковый муз. инструмент, у которого струны (до 40) натягиваются над грифом и вне грифа над декой|цитра
Струнный щипковый музыкальный инструмент арабского происхождения|лютня
Струнный щипковый музыкальный инструмент с овальным корпусом|домра
Струнный щипковый музыкальный инструмент|банджо
Струнный щипковый музыкальный инструмент|гитара
Струя жидкости, газа, выбрасываемая вверх из отверстия под давлением|фонтан
Студенистая масса|гель
Студенистое жидкое кушанье|кисель
Студенистое кушанье из сгустившегося мясного или рыбного навара|желе
Студент, обучающийся в бурсе|бурсак
Студентка, комсомолка, спортсменка ("Кавказская пленница")|нина
Студентка, комсомолка, спортсменка (актриса)|варлей
Студенческий гимн?|гаудеамус
Студень, до которого косметологи "довели" даже крем для бритья|гель
Студия|ателье
Студнеобразующее вещество из водорослей|агароид
Стук подкованных копыт|цокот
Стукач, но не в компетентные органы|дятел
Стул со смягчающими обстоятельствами|кресло
Стул, которого нет ни в одном мебельном гарнитуре|трон
Ступень к брустверу|банкет
Ступенька в горной породе, образовавшаяся в ходе разработки|уступ
Стучащий детсадовец, но не юный барабанщик|ябеда
Стучит в двигателе|клапан
Стыд по-другому|срам
Стюардесса по имени Ваня|стюард
Стюардесса, знакомая Володи Преснякова|жанна
Стягивание снопов соломенным жгутом|вязка
Субботняя расплата за двойки|порка
Субстанция, делающая человека человеком|душа
Субстанция, философски символизирующая неумолимо текущее время|песок
Субтроп. плодовое дерево, японская мушмула|локва
Субтропический съедобный плод|банан
Субтропическое вечнозеленое дерево|бадьян
Суверенное устройство|автомат
Суверенный дефис|тире
Сугубо детское восприятие окружающей действительности|наив
Сугубо осенний фрукт|хурма
Сугубо русский директор|глава
Судебная ...?|процедура
Судебная бумага|иск
Судебный приговор семье|развод
Судейская коллегия|жюри
Судейский, а также полицейский чин в Испании|альгвазил
Судно викингов|дракар
Судно для буксировки воднолыжников|катер
Судно для вождения несамоходных судов|буксир
Судно для перевозки жидких грузов|танкер
Судно для перевозки сыпучих грузов навалом|балкер
Судно для троих, не считая собаки|лодка
Судно норв. путешеств-ка Ф. Нансена во вр. эксп. 1893-96 гг.|фрам
Судно у берега|причал
Судно экспедиции Р. Амундсена|мод
Судно, на борту которого родилась сказка про Алису в Стране чудес|лодка
Судно, охотившееся за Моби Диком|пекод
Судно, состоящее из двух соединенных палубой корпусов или имеющее двухкилевые обводы корпуса?|катамаран
Судно-бурлак|буксир
Судовая задница|корма
Судовая кухня|камбуз
Судовая лестница; газонефтяной сепаратор|трап
Судовая мачта|бизань
Судовая снасть бегучего такелажа|фал
Судовая снасть|риф
Судовая специальность Сильвера из "Острова сокровищ"|кок
Судовое спец. помещение|отсек
Судовой груз во внешнеторговых операциях|карго
Судовой колокол|рында
Судовой кулинар|кок
Судовой отстойник|порт
Судовой плац|палуба
Судовой прибор для определения пройденного судном расстояния|лаг
Судовой тонкий канат, трос|линь
Судовой, приспособление для удержания судна или другого плавсредства на месте при стоянке за счет зацепа за грунт|якорь
Судовые помещения между нижней палубой и днищем для перевозки грузов, размещения механизмов, запасов|трюм
Судорога конечностей (мед.)|атетоз
Судорога?|спазм
Судорожное сокращение мелких артерий|ангиоспазм
Судорожное сокращение мышц или стенок полых органов и сосудов, сужающее их проход|спазм
Судорожное стягивание мышц|корча
Судорожные сокращения диафрагмы|икота
Судорожный процесс, который согласно рекламе, может остановить только "Фанта"|икание
Судостроительное предприятие?|верфь
Судоходный пролив|проход
Судьба (поэт.)|мойра
Судьба, рок|предопределенность
Судьба-злодейка|рок
Судья в некоторых спортивных состязаниях?|рефери
Судья|арбитр
Судя по названию своему, это животное должно излучать, а на самом деле оно может только сделать больно. Что же это за животное?|актиния
Судя по названию, вечно мерзнущая птичка|зяблик
Суетливый, слишком подвижный человек, непоседа|егоза
Суетность, которая бесполезна и безрезультатна|тщета
Сужающийся брусок дерева, металла, простейшее орудие|клин
Суждение, отношение, взгляд|мнение
Суждение, проверенное практикой|истина
Сужение отверстия крайней плоти мужского полового члена|фимоз
Сужение стенок сосуда или органа, затрудняющее движение его содержимого (мед.)|стеноз
Сукна, обрамляющие портальную арку сцены|арлекин
Сукно со стоячим ворсом|бобрик
Суковатое дерево, затонувшее в воде|коряга
Суконный или шерстяной остроконечный капюшон с длинными концами, надеваемый поверх головного убора|башлык
Сулица, метательное оружие|дротик
Сулящая горе, в скандинавской мифологии великанша|ангрбода
Сумка - орган размножения у грибов|аск
Сумка для стрел|колчан
Сумка или пояс для патронов?|патронташ
Сумма начальных кинетических энергий всех заряженных частиц в веществе|керма
Сумма общей задолженности по векселям|облиго
Сумма, взыскиваемая с должностного лица за неправомерные действия|начет
путь корабля за один оборот винта|аванс
Сумма, выдав. заранее|аванс
Сумма, выплачиваемая сразу при заключении сделки в счет причитающихся платежей?|задаток
Сумма, которую ставит участник игры на деньги|ставка
Сумма, на которую понижена цена|скидка
Сумчатое животное|вомбат
Сумчатое животное|кузу
Сумчатое животное|кускус
Сумчатые грибы|аск
Сумчатый гриб|аскомицет
Сумчатый медведь, любитель эвкалиптов|коала
Сумчатый муравьед|намбат
Сундук с отделениями|кофр
Сундучок для различных надобностей?|ларец
Суп из баранины и риса?|харчо
Суп из гусиной, свиной крови со свекольн. рассолом и солеными огурцами|юшник
Суп из капусты|щи
Суп из свежей рыбы|уха
Суп со свеклой и другими овощами|борщ
Суп, который невозможно есть|бурда
Суп, засыпаемый такими изделиями|лапша
Супер "мини-маркет"?|ларек
Супер-Маугли (киношн.)|Тарзан
Супергоночная машина?|болид
Суперлетчик|ас
Суперплаток|шаль
Супная пенка|накипь
Супостат Тимура и его команды?|Квакин
Супруга Карася|одарка
Супруга восточного правителя|шахиня
Супруга по-украински|жинка
Супруга птицы, славящейся своим восхитительным хвостом?|пава
Супружеское наставление|рога
Супружество?|брак
Суровый бой ведет ледовая дружина. Мы верим мужеству отчаянных парней. Чем они заняты|хоккей
Суррогат денежного знака|купон
Суррогат каучука|фактис
Сусло высшего качества|кюве
Суспензия графита в воде, которой покрывают внутреннюю поверхность электронно-лучевой трубки|аквадаг
Сустав, соединяющий бедренную и берцовую кости|колено
Суставной конец трубчатой кости|эпифиз
Суточная остановка на отдых во время длительного похода|дневка
Суточный паек|рацион
Суть анекдота|соль
Суть вступительных экзаменов|отсев
Суфлеобразная сладость|зефир
Сухая ветка дерева|сук
Сухая высокогорная степь|пуна
Сухая корочка, образующаяся на заживающей ране, ссадине|струп
Сухая трава|сено
Сухие русла, мертвые долины в пустынях Средней Азии|узбой
Сухие фрукты из абрикосов|кайса
Сухие фрукты из винограда|изюм
Сухое красное вино|кларет
Сухое печенье из пресного теста|галета
Сухое печенье|крекер
Сухое русло|узбой
Сухой ветер в пустынях Африки|самум
Сухой помет скота, применяемый как топливо в безлесных местностях Азии|аргал
Сухой тропический ветер|пассат
Сухой туман|мгла
Сухой, жаркий, обычно южный ветер на северо-востоке Африки |хамсин
Сухой, знойный ветер пустынь, налетающий шквалом и образующий песчаные вихри|самум
Сухопутное звание, соответствующее капитану 3 ранга вмф|майор
Сухопутные пути?|дороги
Сухопутный спортивный парусник на коньках, лыжах, колесах?|буер
Сухофрукт|изюм
Суша в противоположность водному или воздушному пространству|земля
Суша, омываемая Байкалом|ольхон
Сушеные абрикосы или персики без косточек|кайса
Сушеные абрикосы?|урюк
Сушеные разрезанные пополам абрикосы без косточек|курага
Сушеный виноград бессемянных сортов|сабза
Сушеный кишмиш|сабза
Сушитель из парикмахерской?|фен
Существенное обстоятельство в каком-либо процессе?|фактор
Существо в "Warcraft"|орк
Существо в европейской мифологии|гном
Существо громадных размеров|гигант
Существование одного и того же химического элемента в виде нескольких простых веществ|аллотропия
Существование отдельно от других, независимо|самостоятельность
Существующая, установленная мера|норма
Сфагновые болота на севере европейской части России|мшара
Сфагнум, ягель|мох
Сфера действия, распространения чего-либо|орбита
Сфера непроизводительной, но очень популярной деятельности|спорт
Сфера половых отношений|секс
Сфера товарного обмена|рынок
Сферич. частицы размером от микроскопических до горошины (астроном.)|хондры
Схематически зарисованный план местности|абрис
Сход горожан (истор.)|вече
Сходка в горах|лавина
Сходное с лягушкой бесхвостое земноводное с бородавчатой кожей|жаба
Сходство в каком-либо отношении между предметами или явлениями?|аналогия
Сцена в цирке|арена
Сценические монологи, реплики, произносимые "в сторону"|апарт
Сценическое амплуа - наивная девушка|инженю
Сценическое амплуа: роли эффектных, самовлюбленных и ограниченных людей|фат
Сценическое амплуа|трагик
Сценическое представление, построенное на преувеличенно-комических, шутовских ситуациях?|буффонада
Сцепка судов для рукопашного боя|абордаж
Сцепление поверхностей разнородных тел|адгезия
Сцепленные друг с другом железнодорожные вагоны|состав
Счастье, барыш, прибыток|талан
Счастье, до конца понятное лишь слепым|зрение
Счастье, польза|благо
Счастье, с точностью до наоборот?|напасть
Счет банка в своем банке|ностро
Счет поступлений и долгов данному учреждению|дебет
Счет расходов и долгов организации|кредит
Счет, открываемый банком своему банку, корреспонденту|лоро
Счетный прибор в Древней Греции|абак
Счетный прибор|арифмометр
Счетчик времени|таймер
Считается, что он редьки не слаще|хрен
Считай, то же самое, что и анкетирование|опрос
Считают, что первым ... взял себе древнегреческий комедиограф Аристофан?|псевдоним
Съедобная красная ягода и растение, на котором она растет|кизил
Съедобная ягода, растет на Кавказе и в Крыму|ирга
Съедобное двуногое, пленившее человека своим пением, а затем и ножками. Назовите его|петух
Съедобные надземные части огородн. растений в белорус. кухне|гич
Съедобный гриб для засола|груздь
Съедобный гриб, вид рогатика|инвала
Съедобный гриб, внешне похожий на белый гриб|синяк
Съедобный гриб, названием своим неприятно напоминающий о последствиях драки|синяк
Съедобный гриб, растущий в сосновых лесах|козляк
Съедобный гриб, растущий на деревьях|ежовик
Съедобный гриб|гладыш
Съедобный гриб|колпак
Съедобный гриб|осовик
Съедобный гриб|пецица
Съедобный гриб|плютей
Съедобный гриб|рыжик
Съедобный моллюск|мидия
Съедобный морской моллюск с красивой раковиной|рапана
Съедобный пластинчатый гриб на тонкой ножке|опенок
Съедобный пластинчатый гриб|валуй
Съедобный плод пальмы|финик
Съедобный серовато-белый пластинчатый гриб?|шампиньон
Съедобный тропический плод|авокадо
Съезд высшего духовенства христ. церкви|собор
Съезд членов массовой организации|слет
Съемная часть свечи|нагар
Съемочный аппарат|камера
Съестное, не предусматривающее использования столовых приборов|жратва
Сыворотка после сбивания масла (на Востоке)|дуг
Сыктывкар|Коми
Сын как помощь|опора
Сын королевской семьи|принц
Сын помещика|барич
Сын тех же родителей или одного родителя по отношению к другим их детям|брат
Сын флотского экипажа|юнга
Сын, потомок в арабских именах|ибн
Сыпучая сухая масса - остатки сена, перегнившего дерева, бумаги|труха
Сыпучие крупинки кварца?|песок
Сыпучий материал, спрессованный в виде кирпича|брикет
Сыпь на лице?|угри
Сыр из овечьего молока на Оркнейских островах|оркни
Сырные палочки к овощным супам-пюре|пайль
Сырный шар|голова
Сырое, непропеченое место в хлебе|закал
Сырость, жидкость, вода, содержащаяся в чем-нибудь|влага
Сырость, нападающая на дома (по В. Далю)|гниль
Сырцовый кирпич, название которого происходит от тюркского слова, означающего "солома"|саман
Сырье в природных коробочках|хлопок
Сырье в производстве удобрений|апатит
Сырье для гончарных изделий|глина
Сырье для изготовления пива, кваса|солод
Сырье для кефира?|молоко
Сырье для крекинга|гудрон
Сырье для морских палочек (деликатес)|краб
Сырье для получения бензина|нефть
Сырье для получения скипидара и канифоли|живица
Сырье для получения соды, хим. озерный осадок|трона
Сырье для производства меда|падь
Сырье для птицефабрик, специализирующихся на разведении фениксов|пепел
Сырье для саке|рис
Сырье для свечного заводика|воск
Сырье для соц. исследования|анкета
Сырье, которое не вяжется под градусом|лыко
Сырьевой металлический слиток|чушка
Сыск и возвращение беглых крестьян в России (15-17 вв.)|своз
Сычуг по отношению к желудку жвачных животных|отдел
Сыщик у А. Кристи|Пуаро
Сыщик, игравший на скрипке|Холмс
Сыщик, тайный агент полиции|шпик
Сыщик?|детектив
Сюжет худож. произведения; персонажи и обстоятельства, обеспечивающие развитие действия?|интрига
Сюжетная основа литературного произведения|фабула
Сюжетная схема?|сценарий
Сюита в узбекской музыке|маком
Тетка в одной туфле?|Золушка
Та самая салангана, чье жилище идет на приготовление супа из "ласточкиных гнезд"|стриж
Та сторона закона, которой следуют бюрократы|буква
Та часть вечности, что отделяет вотчину разочарования от царства надежды?|настоящее
Та часть советского коллектива, к которой относили каждого собирающего взносы|актив
Та, для которой были сшиты алые паруса в феерии А. Грина|Ассоль
Та, кем в деревне в июле становится почти каждая женщина|жница
Та, которая раскаивается в содеянном, однако непременно сделает это снова. (Генри Менкен)?|жена
Та, которая упала у группы "На-На", и по народным приметам, если это случилось - с братом подерешься|шляпа
Та, которая хлопочет о заключении брака, свадьбе|сваха
Та, что не стоит свеч|игра
Табак в народной речи|махра
Табак, верблюды и пустыня (общее)|кэмел
Табачное изделие|сигара
Табачный "секонд хэнд"|бычок
Табачный секонд-хэнд?|чинарик
Табачок|тютюн
Таблица (журнал) для отметки выхода рабочих и служащих на работу|табель
Таблица с четвертными и годовыми оценками успеваемости учащегося|табель
Табор юрт, стан кочевников|улус
Табу, вето|запрет
Табун|стадо
Таджико-персидское название шахматного слона|пил
Таджикское кондитерское изделие из толченых орехов и изюма|янчмиш
Таджикское острое мясо-овощное блюдо с лапшой|шима
Таджикское национальное блюдо типа пельменей|хушан
Тазик на флоте|обрез
Таинственное слово с чудодейственной силой, превратившееся в сущую чепуху|абракадабра
Таинственное средство, с помощь которого врач избавляется от советов больного во время операции|наркоз
Таинство покаяния?|исповедь
Тайм в бейсболе|иннинг
Тайм в хоккее|период
Таймыр, но не остров|озеро
Тайна, скрытый способ или причина|секрет
Тайная разветвленная террористическая организация крупных уголовных преступников|мафия
Тайное наоборот|явное
Тайное обвинительное сообщение|донос
Тайное перемещение какого-либо товара через границу?|контрабанда
Тайные обряды и празднества в честь некоторых древнегреческих богов|оргия
Тайный агент по сыску, слежке за кем-нибудь|шпион
Тайный агент сыскной полиции|сыщик
Тайный рапорт|донос
Тайный религиозный обряд?|оргия
Тайный сотрудник|сексот
Тайный уполномоченный?|резидент
Тайный уход из места заключения|побег
Так "братва" иногда обращается к пожилым женщинам|мамаша
Так Чингачгук и его сородичи называли женщин?|скво
Так американцы называют то, что мы зовем "фазендой"|вилла
Так в 19 в. называли 5-франковую монету|экю
Так называют картонную подкладку для куриных яиц|ячейка
Так в Риме называли каждого нового последователя христианства|неофит
Так в испаноязычных странах называют союз или объединение|хунта
Так владимирцы называют бражку, дряное пиво|клыга
Так возвышенно называл Пушкин свою жену|бог
Так древние греки называли народ|демос
Так звали композитора Рубинштейна и писателя Чехова|Антон
Так звали одного из былинных богатырей?|Добрыня
Так звали создателя первого советского турбореактивного двигателя|Архип
Так звали чудище, промышлявшее на улице Вязов|Крюгер
Так здоровался Бунша в обличии Ивана Грозного со своими подданными "Очень приятно, ..."|царь
Так зовут барыню, когда она плывет величаво и важно|пава
Так зовут любого неверящего очевидному|Фома
Так можно назвать девушку, которая убеждает вас, что вы у нее - первый|врунья
Так можно назвать любого работника, начисто лишенного творческого воображения|робот
Так можно назвать, теперь уже бабушку, незлобивую бродяжку в лохмотьях|хиппи
Так на митинге зовут того, кого в более узком кругу называют "пустобрех" или "мудозвон"|оратор
Так называет выпивку влюбленное в нее дрянцо|винцо
Так называется спиртной напиток, который гонят из сахарного тростника?|ром
Так называлась буква до появления офсетной печати|литера
Так называют вначале "сумасшедшие идеи", которые потом становятся реальностью|бред
Так называют консервы из копченых рыб в масле|шпрот
Так называют на Кавказе и юге Украины - длинную 4-колесную телегу|арба
Так называют однообразие в жизни|проза
Так называют последователя индуизма|индус
Так называют явление, когда мужик долго не пил, и вдруг набрался|срыв
Так обычно называют логорею - недержание слов|понос
Так прежде называлась игра без взяток в преферансе|уверт
Так сами японцы называют Японию|Ниппон
Так северяне нарекли белого медведя|умка
Так сокращенно называют журналиста, работающего за рубежом|инкор
Так специалисты называют распространение заведомо ложных сведений (разг.)|деза
Так у некотороых народов называется очаг|чувал
Так часто называют предосудительный сговор|сделка
Такая вот судьба?|участь
Такая фамилия была у Моны Лизы?|Джоконда
Такое блюдо допускает наибольшее разнообразие в выборе компонентов|салат
Такое можно сказать ребенку, который всегда поступает правильно|умница
Такой кафтан носил Герасим|армяк
Такой работник есть почти в каждом учреждении, он разносит деловые бумаги|курьер
Таксономическая единица в географии|район
Таксофон как устройство|автомат
Такт двигателя внутреннего сгорания|впуск
Тактич. прием в шахматах|угроза
Тактич. удар в шахматах|жертва
Тактический прием морского боя|абордаж
Тактический прием построения пехоты для отражения атак кавалерии|каре
Тактичность?|корректность
